0,5,,,,1-4   行动后*你不曾想过任何，你只告诉他将失败。,4-2-1,1-4后,1,,,#
1,1,,,,（你的存在，并非无人所知）,,,2,0,,#
2,1,,,,（你的存在，本不属于这个世界）,,,3,0,,#
3,1,,,,（他们看不到，他们感受不到）,,,4,0,,#
4,1,,,,（但我知道）,,,5,0,,#
5,1,,,,（我便是这片大地）,,,6,0,,#
6,1,,,,（你动得了我的躯体，动不了我的根基）,,,7,0,,#
7,1,你,-1,Npc_doctor,黑蛇......,,,8,0,,#
8,1,,1,Npc_heishe_1,......,,,9,0,,#
9,1,,,,（当你恢复意识的时候，眼前便是这么一番景象）,,,10,0,,#
10,1,,,,（熟悉的房间）,,,11,0,,#
11,1,,,,（你本应该跟着凯尔希前往塔顶）,,,12,0,,#
12,1,,,,（但却再次在这里苏醒）,,,13,0,,#
13,1,,,,（黑影）,,,14,0,,#
14,1,,,,（无法辨识的脸）,,,15,0,,#
15,1,,,,（和那天几乎一模一样）,,,16,0,,#
16,1,,,,（他的气息满是杀意）,,,17,0,,#
17,1,,,,（他在生气）,,,18,0,,#
18,1,,,,（不对）,,,19,0,,#
19,1,,,,（他该害怕才对）,,,20,0,,#
20,1,黑蛇,1,Npc_heishe_1,你回望过去，只为让她们活下去？,,,21,0,,#
21,1,黑蛇,1,Npc_heishe_1,可笑，可笑。,,,22,0,,#
22,1,黑蛇,1,Npc_heishe_1,你告诉我我会失败。,,,23,0,,#
23,1,黑蛇,1,Npc_heishe_1,哈哈哈，我本以为那是个笑话。,,,24,0,,#
24,1,黑蛇,1,Npc_heishe_1,你想要干什么？,,,25,0,,#
25,1,黑蛇,1,Npc_heishe_1,只为你眼前的苟且？,,,26,0,,#
26,1,黑蛇,1,Npc_heishe_1,我高看你了。,,,27,0,,#
27,1,黑蛇,1,Npc_heishe_1,她们叫你博士，对吧。,,,28,0,,#
28,1,,,,......,,,29,0,,#
29,4,,,,,,,30,0,,#
30,5,,,,,4-1-2,,31,0,,#
31,1,,0,Npc_Amiya,（猛然回过神来）,,,32,0,,#
32,1,,0,Npc_Amiya,（你却已经到了阿米娅的跟前）,,,33,0,,#
33,1,,0,Npc_Amiya,（她张开眼睛）,,,34,0,,#
34,1,,0,Npc_Amiya,（哭了出来）,,,35,0,,#
35,1,,0,Npc_Amiya,......,,,36,0,,#
36,1,,0,Npc_Amiya_2,（一切都像之前一样）,,,37,0,,#
37,1,,0,Npc_Amiya_2,（我醒了过来）,,,38,0,,#
38,1,,0,Npc_Amiya_2,（塔露拉醒了过来）,,,39,0,,#
39,1,,0,Npc_Amiya_2,（阿米娅醒了过来）,,,40,0,,#
40,1,,0,Npc_Amiya_2,（黑蛇以为我操纵了这一切）,,,41,0,,#
41,1,,0,Npc_Amiya_2,（他错了）,,,42,0,,#
42,1,,0,Npc_Amiya_2,（我只对他说）,,,43,0,,#
43,1,,0,Npc_Amiya_2,（你必然失败）,,,44,0,,#
44,3,,,,,,,45,0,,#
,,,,,,,,,,,
