0,5,,,,1-6   行动后*风儿吹过沙地，风笛想起...,6-2-1,1-6前后,1,,,#
1,1,,,,（我的身后，还是不是维多利亚）,,,2,0,,#
2,1,,,,（我的道路，应该没有走错的地方）,,,3,0,,#
3,1,,,,（我想了，想我的朋友，想我的家）,,,4,0,,#
4,1,,,,（一声两声）,,,5,0,,#
5,1,,,,（三声四声）,,,6,0,,#
6,1,,,,（我走在路上，回首是云彩和星光）,,,7,0,,#
7,1,,,,（究竟是从何时开始）,,,8,0,,#
8,1,,,,（我走了多久？）,,,9,0,,#
9,1,,,,（我不记得了）,,,10,0,,#
10,1,,,,（五步六步）,,,11,0,,#
11,1,,,,（七步八步）,,,12,0,,#
12,1,,,,（肚子还不饿，口还不渴）,,,13,0,,#
13,1,,,,（我会先走下去，然后走回来）,,,14,0,,#
14,1,,,,（我会找到队长，我会找到还活着的大家）,,,15,0,,#
15,1,,,,（抬起头来我看着路）,,,16,0,,#
16,1,风笛,,,天上满是星空。,,,17,0,,#
17,1,风笛,,,好想躺在一个干燥的草垛上啊。,,,18,0,,#
18,1,风笛,,,就像平时那样。,,,19,0,,#
19,1,,,,（呼~~呼~呼~~呼）,,,20,0,,#
20,1,风笛,,,队长，我想你了......,,,21,0,,#
21,3,,,,,,,22,0,,#
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
