0,5,,,,1-4   行动前*你不曾见过她们的英姿，但你会见证她们的胜利。,4-1-1,1-4前,1,,,#
1,1,,,,（你未曾亲眼目睹过这场战斗）,,,2,0,,#
2,1,,,,（你也未曾见过她们与死亡的轮舞）,,,3,0,,#
3,1,,,,（你不知道你的动作会不会她们产生影响）,,,4,0,,#
4,1,,,,（你虽改不了他人意志）,,,5,0,,#
5,1,,,,（但总会带来或多或少的影响）,,,6,0,,#
6,4,,,,,,,7,0,,#
7,5,,,,,4-1-2,,8,0,,#
8,1,,,,（你不知道霜星的存活会不会让罗德岛陷入危险）,,,9,0,,#
9,1,,,,（也不知道爱国者的停止会不会让塔露拉重燃火芽）,,,10,0,,#
10,1,,,,（更不知道阿米娅和陈会不会死在黑蛇手下）,,,11,0,,#
11,1,,,,（你不知道）,,,12,0,,#
12,4,,,,,,,13,0,,#
13,5,,,,,4-1-3,,14,0,,#
14,1,,,,（你不知道自己的存在代表什么）,,,15,0,,#
15,1,,,,（你不知道自己的行为会产生什么）,,,16,0,,#
16,1,,,,（你在害怕）,,,17,0,,#
17,4,,,,,,,18,0,,#
18,5,,,,,4-1-4,,19,0,,#
19,1,,,,（你怕，你的决定会带来危险）,,,20,0,,#
20,1,,,,（你怕，你的决定会改变这个世界）,,,21,0,,#
21,1,,,,（你怕，失去你所珍视的东西）,,,22,0,,#
22,1,,,,......,,,23,0,,#
23,1,,,,（会吗？）,,,24,0,,#
24,4,,,,,,,25,0,,#
25,5,,,,,4-1-5,,26,0,,#
26,1,,,,（哪怕再次经历了那些事）,,,27,0,,#
27,1,,,,（哪怕你可以选择回去）,,,28,0,,#
28,1,,,,（但你不想）,,,29,0,,#
29,1,,,,（不想看到这个时空碎去）,,,30,0,,#
30,1,,,,（PRTS的光芒闪烁）,,,31,0,,#
31,1,,,,（你的眼前是尘土与火焰）,,,32,0,,#
32,3,,,,,,,33,0,,#
,,,,,,,,,,,
