0,5,,,,1-3   行动后*他走过长路千里，他捏碎命运咽喉。,3-2-1,1-3前后,1,,,#
1,1,,,,（他背着他们的痛）,,,2,0,,#
2,1,,,,（他背着他们的恨）,,,3,0,,#
3,1,,,,（他们的......沉默）,,,4,0,,#
4,1,,,,（他见过大地颤动，帝国崩塌）,,,5,0,,#
5,1,,,,（他背着死和沉默，血与哀嚎）,,,6,0,,#
6,1,,,,（他背弃诺言，满是悔恨）,,,7,0,,#
7,1,,,,（他仍在前进，不曾停歇）,,,8,0,,#
8,4,,,,,,,9,0,,#
9,5,,,,,3-2-2,,10,0,,#
10,1,爱国者,,,魔王......,,,11,0,,#
11,1,爱国者,,,你必须死。,,,12,0,,#
12,1,爱国者,,,你，会是大地上最可怖的灾难。,,,13,0,,#
13,1,爱国者,,,他说，我会在这里，活下去。,,,14,0,,#
14,1,爱国者,,,和你，和魔王，一起。,,,15,0,,#
15,1,爱国者,,,他许诺我，好的结局。,,,16,0,,#
16,1,爱国者,,,我告诉他，不可能。,,,17,0,,#
17,1,爱国者,,,他，和你一样。,,,18,0,,#
18,1,爱国者,,,我的结局，从来不受他人，改写。,,,19,0,,#
19,1,爱国者,,,你予我幻觉，我不认，那不是结局。,,,20,0,,#
20,1,爱国者,,,这是，我的结局。,,,21,0,,#
21,1,爱国者,,,我活过，我见过，我反抗，我应得。,,,22,0,,#
22,1,爱国者,,,我会，死在这里。,,,23,0,,#
23,1,爱国者,,,我终其一生，今日才算，理所应当。,,,24,0,,#
24,1,爱国者,,,我与命运抗争，无数年......今天，我赢了。,,,25,0,,#
25,1,,,,......,,,26,0,,#
26,4,,,,,,,27,0,,#
27,5,,,,,3-2-3,,28,0,,#
28,1,,,,（我看到你会被魔王的随行者拯救）,,,29,0,,#
29,1,,,,（我看到你活下去）,,,30,0,,#
30,1,,,,（他会让你活下去）,,,31,0,,#
31,1,,,,（不会）,,,32,0,,#
32,1,,,,（我会战死，直至最后一刻）,,,33,0,,#
33,1,,,,（PRTS的光芒闪烁）,,,34,0,,#
34,1,,,,（他穷极一生反抗命运）,,,35,0,,#
35,1,,,,（他赢了）,,,36,0,,#
36,3,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
